vendor,dominant_category,model,next_dollar_verdict,skus,stocked_skus,live_on_site_skus,listed_pct_of_skus,listed_pct_of_in_store_rev,ttm_revenue_EGP,ttm_gross_profit_EGP,gross_margin_pct,online_share_pct,owned_inventory_at_cost_EGP,consigned_inventory_at_cost_EGP,GMROI,stock_turns,months_of_cover,last_received,days_since_receipt,recency_bucket,received_L7_EGP,received_L30_EGP,received_L90_EGP,received_L365_EGP,share_of_category_L90_intake_pct,share_of_category_gross_profit_pct,intake_vs_profit_index,cash_to_release_EGP,cash_to_deploy_EGP
Al-Majd,Clothing,Owned stock,TOO SMALL TO RANK,53,3,3,5.7,,12458,3738,30.0,33.3,550,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Sama Group,Party,Owned stock,TOO SMALL TO RANK,80,38,0,0.0,0.0,11777,5650,48.0,0.0,2140,0,,,,,,Never,0,0,0,0,0.0,0.1,,0,0
Mint,Clothing,Owned stock,TOO SMALL TO RANK,655,281,0,0.0,0.0,11172,4877,43.7,0.0,10602,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Golden Jet,Party,Owned stock,TOO SMALL TO RANK,107,74,0,0.0,0.0,10410,7620,73.2,0.0,13940,0,,,,,,Never,0,0,0,0,0.0,0.2,,0,0
HUN-toys,Toys,Owned stock,TOO SMALL TO RANK,177,20,0,0.0,0.0,9833,-1203,-12.2,2.0,6514,0,,,,,,Never,0,0,0,0,0.0,-0.0,,0,0
Thomas Kids,Clothing,Owned stock,TOO SMALL TO RANK,1,0,0,0.0,,9350,1657,17.7,0.0,0,0,,,,2025-12-19,248,L365,0,0,0,0,0.0,0.0,,0,0
Global,Clothing,Owned stock,TOO SMALL TO RANK,38,8,0,0.0,,8309,3013,36.3,80.0,2382,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Trust Pharma,Baby Essentials,Owned stock,TOO SMALL TO RANK,5,4,4,80.0,,8091,2294,28.4,22.0,0,1158,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Moment cash,Baby Essentials,Owned stock,TOO SMALL TO RANK,88,0,0,0.0,,7301,2595,35.5,2.9,0,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Master Batch,Toys,Owned stock,TOO SMALL TO RANK,3,1,1,33.3,,6770,1909,28.2,3.1,0,26,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Mindset- Accessories,Clothing,Owned stock,TOO SMALL TO RANK,164,4,0,0.0,,6640,2350,35.4,4.0,0,231,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Science's Kits,Toys,Owned stock,TOO SMALL TO RANK,2,2,2,100.0,,5792,1037,17.9,12.1,0,1260,,,,2026-02-10,195,L365,0,0,0,0,0.0,0.0,,0,0
BRIGHT FUTURE,Toys,Owned stock,TOO SMALL TO RANK,34,7,0,0.0,0.0,5138,1403,27.3,0.0,1494,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Al Noor Import Company,Toys,Owned stock,TOO SMALL TO RANK,27,6,0,0.0,,4974,2111,42.4,0.0,1283,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Farmacia,Various,Owned stock,TOO SMALL TO RANK,8,0,0,0.0,,4950,1303,26.3,0.0,0,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
